loginId,visits,female,game,teacher,eng_class,course_total,total_assm,total_time,avg_time,maxLevel,finalLevel,total_wk,m30_n,stay_30m
7072,33,0,1,1,11,83,137,7068,51.59124,5,4,8,8,14.725
7075,11,0,1,1,11,73,115,5867,51.01739,5,5,8,8,12.22292
7079,7,1,1,1,11,92,72,4134,57.41667,11,11,5,5,13.78
7083,7,0,1,1,11,63,17,815,47.94118,5,5,2,2,6.791667
7089,4,0,1,1,11,70,32,999,31.21875,3,3,2,2,8.325
7090,11,1,1,1,11,68,25,1110,44.4,2,1,3,3,6.166667
7091,19,1,1,1,11,70,8,192,24,3,1,2,2,1.6
7092,3,1,1,1,11,67,25,438,17.52,4,1,2,2,3.65
7093,4,1,1,1,11,73,14,599,42.78571,4,4,1,2,4.991667
7095,6,1,1,1,11,67,78,2572,32.97436,3,2,4,4,10.71667
7097,9,1,1,1,12,65,25,1436,57.44,6,6,2,2,11.96667
7100,4,1,1,1,12,61,21,967,46.04762,3,2,2,2,8.058333
7101,10,1,1,1,12,73,26,1360,52.30769,6,6,3,4,5.666667
7104,8,1,1,1,12,60,111,5006,45.0991,3,1,8,8,10.42917
7107,15,1,1,1,12,81,115,6003,52.2,11,10,9,9,11.11667
7109,2,1,1,1,12,91,13,720,55.38462,5,5,2,2,6
7111,5,0,1,1,12,85,31,1408,45.41935,5,5,2,2,11.73333
7113,22,0,1,1,12,82,40,1371,34.275,5,4,4,4,5.7125
7114,3,1,1,1,12,90,15,797,53.13334,6,6,2,2,6.641667
7116,2,0,1,1,12,64,22,1062,48.27273,7,7,2,2,8.85
7119,16,0,1,1,12,85,61,3368,55.21312,5,1,6,10,5.613333
7120,8,1,1,1,12,76,16,706,44.125,3,3,3,3,3.922222
7121,36,1,1,1,12,75,83,4685,56.44578,10,10,4,5,15.61667
7122,5,1,1,1,12,85,33,1910,57.87879,6,6,4,4,7.958333
7126,5,1,1,1,13,81,29,1559,53.75862,4,4,3,3,8.661111
7127,35,0,1,1,13,83,41,1947,47.4878,7,7,3,3,10.81667
7128,4,1,1,1,13,94,36,2103,58.41667,9,8,2,2,17.525
7134,7,0,1,1,13,83,37,1651,44.62162,5,5,2,3,9.172222
