testId,loginId,testEndTime,sessionTime,endLevel,correctItems,incorrectItems,stu_id,female,currentLevel,game,teacher,eng_class,course_total,psglevel
79783,7071,1/9/2017 20:38,5,1,0,5,41500227,0,1,1,1,11,66,1
79784,7071,1/9/2017 20:38,9,1,2,4,41500227,0,1,1,1,11,66,1
79785,7071,1/9/2017 20:38,6,1,2,2,41500227,0,1,1,1,11,66,1
79786,7071,1/9/2017 20:39,48,1,4,2,41500227,0,1,1,1,11,66,1
79787,7071,1/9/2017 20:40,60,1,4,1,41500227,0,1,1,1,11,66,1
79788,7071,1/9/2017 20:41,38,1,6,0,41500227,0,1,1,1,11,66,1
79789,7071,1/9/2017 20:42,47,1,5,1,41500227,0,1,1,1,11,66,1
79790,7071,1/9/2017 20:42,44,1,3,2,41500227,0,1,1,1,11,66,1
79791,7071,1/9/2017 20:43,43,1,4,1,41500227,0,1,1,1,11,66,1
79792,7071,1/9/2017 20:44,47,1,5,0,41500227,0,1,1,1,11,66,1
79793,7071,1/9/2017 20:45,60,2,6,0,41500227,0,1,1,1,11,66,1
79781,7071,1/9/2017 20:37,9,2,1,5,41500227,0,2,1,1,11,66,2
79782,7071,1/9/2017 20:37,9,1,3,3,41500227,0,2,1,1,11,66,2
79794,7071,1/9/2017 20:46,45,2,4,2,41500227,0,2,1,1,11,66,2
79779,7071,1/9/2017 20:37,21,3,2,3,41500227,0,3,1,1,11,66,3
79780,7071,1/9/2017 20:37,15,2,1,5,41500227,0,3,1,1,11,66,3
64444,7072,11/13/2016 12:10,56,1,2,3,41500228,0,1,1,1,11,83,1
64445,7072,11/13/2016 12:11,56,1,6,0,41500228,0,1,1,1,11,83,1
64447,7072,11/13/2016 12:13,60,1,4,2,41500228,0,1,1,1,11,83,1
64449,7072,11/13/2016 12:14,59,1,6,0,41500228,0,1,1,1,11,83,1
64453,7072,11/13/2016 12:15,54,1,4,3,41500228,0,1,1,1,11,83,1
64454,7072,11/13/2016 12:16,9,1,1,5,41500228,0,1,1,1,11,83,1
64455,7072,11/13/2016 12:16,8,1,3,3,41500228,0,1,1,1,11,83,1
64459,7072,11/13/2016 12:16,7,1,2,4,41500228,0,1,1,1,11,83,1
64462,7072,11/13/2016 12:20,28,1,0,6,41500228,0,1,1,1,11,83,1
64463,7072,11/13/2016 12:22,60,1,5,0,41500228,0,1,1,1,11,83,1
64464,7072,11/13/2016 12:23,44,1,5,0,41500228,0,1,1,1,11,83,1
64465,7072,11/13/2016 12:24,60,1,3,3,41500228,0,1,1,1,11,83,1
64466,7072,11/13/2016 12:25,52,1,5,1,41500228,0,1,1,1,11,83,1
64467,7072,11/13/2016 12:26,55,1,6,0,41500228,0,1,1,1,11,83,1
64468,7072,11/13/2016 12:27,50,1,6,1,41500228,0,1,1,1,11,83,1
64469,7072,11/13/2016 12:28,42,2,4,1,41500228,0,1,1,1,11,83,1
64482,7072,11/13/2016 12:42,40,1,5,1,41500228,0,1,1,1,11,83,1
67005,7072,11/20/2016 20:53,52,1,3,2,41500228,0,1,1,1,11,83,1
67007,7072,11/20/2016 20:53,49,1,6,1,41500228,0,1,1,1,11,83,1
67009,7072,11/20/2016 20:55,59,1,5,1,41500228,0,1,1,1,11,83,1
67010,7072,11/20/2016 20:55,33,1,5,0,41500228,0,1,1,1,11,83,1
67012,7072,11/20/2016 20:56,53,2,5,1,41500228,0,1,1,1,11,83,1
69116,7072,11/28/2016 21:12,47,1,7,0,41500228,0,1,1,1,11,83,1
69117,7072,11/28/2016 21:13,39,1,5,1,41500228,0,1,1,1,11,83,1
69119,7072,11/28/2016 21:14,53,1,5,0,41500228,0,1,1,1,11,83,1
69120,7072,11/28/2016 21:15,50,1,6,0,41500228,0,1,1,1,11,83,1
69121,7072,11/28/2016 21:16,43,1,4,2,41500228,0,1,1,1,11,83,1
69122,7072,11/28/2016 21:17,39,1,6,0,41500228,0,1,1,1,11,83,1
69123,7072,11/28/2016 21:18,52,2,6,0,41500228,0,1,1,1,11,83,1
64438,7072,11/13/2016 12:08,33,2,3,2,41500228,0,2,1,1,11,83,2
64440,7072,11/13/2016 12:09,49,1,2,3,41500228,0,2,1,1,11,83,2
64470,7072,11/13/2016 12:29,51,2,5,1,41500228,0,2,1,1,11,83,2
64471,7072,11/13/2016 12:31,60,2,5,2,41500228,0,2,1,1,11,83,2
64472,7072,11/13/2016 12:32,54,2,6,0,41500228,0,2,1,1,11,83,2
64473,7072,11/13/2016 12:33,60,2,4,2,41500228,0,2,1,1,11,83,2
64474,7072,11/13/2016 12:34,39,2,6,0,41500228,0,2,1,1,11,83,2
64475,7072,11/13/2016 12:35,58,2,6,1,41500228,0,2,1,1,11,83,2
64476,7072,11/13/2016 12:36,44,2,5,0,41500228,0,2,1,1,11,83,2
64477,7072,11/13/2016 12:37,43,2,4,1,41500228,0,2,1,1,11,83,2
64478,7072,11/13/2016 12:38,54,2,3,3,41500228,0,2,1,1,11,83,2
64479,7072,11/13/2016 12:39,48,2,3,2,41500228,0,2,1,1,11,83,2
64480,7072,11/13/2016 12:40,56,2,4,2,41500228,0,2,1,1,11,83,2
64481,7072,11/13/2016 12:41,49,1,4,2,41500228,0,2,1,1,11,83,2
67014,7072,11/20/2016 20:57,52,2,7,0,41500228,0,2,1,1,11,83,2
67016,7072,11/20/2016 20:58,42,2,7,0,41500228,0,2,1,1,11,83,2
67018,7072,11/20/2016 20:59,60,3,5,0,41500228,0,2,1,1,11,83,2
69114,7072,11/28/2016 21:10,26,2,3,3,41500228,0,2,1,1,11,83,2
69115,7072,11/28/2016 21:11,50,1,3,3,41500228,0,2,1,1,11,83,2
69124,7072,11/28/2016 21:19,48,2,6,0,41500228,0,2,1,1,11,83,2
69125,7072,11/28/2016 21:20,48,2,5,1,41500228,0,2,1,1,11,83,2
69126,7072,11/28/2016 21:20,51,2,5,2,41500228,0,2,1,1,11,83,2
69127,7072,11/28/2016 21:21,53,2,4,2,41500228,0,2,1,1,11,83,2
69128,7072,11/28/2016 21:23,52,2,5,1,41500228,0,2,1,1,11,83,2
69129,7072,11/28/2016 21:23,23,2,7,0,41500228,0,2,1,1,11,83,2
69130,7072,11/28/2016 21:24,33,2,5,0,41500228,0,2,1,1,11,83,2
69131,7072,11/28/2016 21:25,47,3,5,1,41500228,0,2,1,1,11,83,2
70626,7072,12/5/2016 11:26,60,2,5,0,41500228,0,2,1,1,11,83,2
70627,7072,12/5/2016 11:27,60,2,6,0,41500228,0,2,1,1,11,83,2
70628,7072,12/5/2016 11:29,60,3,5,0,41500228,0,2,1,1,11,83,2
64435,7072,11/13/2016 12:07,60,3,3,3,41500228,0,3,1,1,11,83,3
64436,7072,11/13/2016 12:08,40,2,4,2,41500228,0,3,1,1,11,83,3
67021,7072,11/20/2016 21:01,60,3,5,1,41500228,0,3,1,1,11,83,3
67022,7072,11/20/2016 21:02,60,3,5,1,41500228,0,3,1,1,11,83,3
67023,7072,11/20/2016 21:03,60,3,4,2,41500228,0,3,1,1,11,83,3
67025,7072,11/20/2016 21:04,43,3,5,1,41500228,0,3,1,1,11,83,3
67026,7072,11/20/2016 21:05,54,3,4,2,41500228,0,3,1,1,11,83,3
67028,7072,11/20/2016 21:06,44,3,6,0,41500228,0,3,1,1,11,83,3
67029,7072,11/20/2016 21:07,52,3,5,0,41500228,0,3,1,1,11,83,3
67030,7072,11/20/2016 21:08,44,4,5,1,41500228,0,3,1,1,11,83,3
69112,7072,11/28/2016 21:09,34,3,3,2,41500228,0,3,1,1,11,83,3
69113,7072,11/28/2016 21:10,25,2,4,1,41500228,0,3,1,1,11,83,3
69132,7072,11/28/2016 21:26,50,3,5,1,41500228,0,3,1,1,11,83,3
69133,7072,11/28/2016 21:27,35,3,5,1,41500228,0,3,1,1,11,83,3
69134,7072,11/28/2016 21:27,42,3,6,0,41500228,0,3,1,1,11,83,3
69135,7072,11/28/2016 21:29,45,3,4,2,41500228,0,3,1,1,11,83,3
69136,7072,11/28/2016 21:29,47,3,1,4,41500228,0,3,1,1,11,83,3
69137,7072,11/28/2016 21:30,32,3,6,0,41500228,0,3,1,1,11,83,3
69138,7072,11/28/2016 21:31,31,3,3,3,41500228,0,3,1,1,11,83,3
69139,7072,11/28/2016 21:31,33,3,3,2,41500228,0,3,1,1,11,83,3
69140,7072,11/28/2016 21:32,30,3,6,0,41500228,0,3,1,1,11,83,3
69141,7072,11/28/2016 21:33,28,3,5,0,41500228,0,3,1,1,11,83,3
69142,7072,11/28/2016 21:34,47,3,4,1,41500228,0,3,1,1,11,83,3
70616,7072,12/5/2016 11:15,60,3,3,2,41500228,0,3,1,1,11,83,3
70618,7072,12/5/2016 11:17,60,3,6,0,41500228,0,3,1,1,11,83,3
70619,7072,12/5/2016 11:18,60,3,4,1,41500228,0,3,1,1,11,83,3
70620,7072,12/5/2016 11:19,60,3,6,0,41500228,0,3,1,1,11,83,3
70621,7072,12/5/2016 11:20,60,3,5,0,41500228,0,3,1,1,11,83,3
70622,7072,12/5/2016 11:21,60,3,4,2,41500228,0,3,1,1,11,83,3
70623,7072,12/5/2016 11:22,60,3,3,2,41500228,0,3,1,1,11,83,3
70624,7072,12/5/2016 11:24,60,3,4,2,41500228,0,3,1,1,11,83,3
70625,7072,12/5/2016 11:25,60,2,4,2,41500228,0,3,1,1,11,83,3
70629,7072,12/5/2016 11:30,60,3,4,1,41500228,0,3,1,1,11,83,3
70630,7072,12/5/2016 11:31,60,3,5,0,41500228,0,3,1,1,11,83,3
70631,7072,12/5/2016 11:32,60,3,5,0,41500228,0,3,1,1,11,83,3
70632,7072,12/5/2016 11:33,60,4,6,0,41500228,0,3,1,1,11,83,3
67031,7072,11/20/2016 21:09,60,4,10,3,41500228,0,4,1,1,11,83,4
69108,7072,11/28/2016 21:03,60,4,6,1,41500228,0,4,1,1,11,83,4
69110,7072,11/28/2016 21:06,60,3,6,2,41500228,0,4,1,1,11,83,4
73174,7072,12/12/2016 17:03,60,4,7,2,41500228,0,4,1,1,11,83,4
73176,7072,12/12/2016 17:05,60,4,8,2,41500228,0,4,1,1,11,83,4
73178,7072,12/12/2016 17:06,60,4,8,0,41500228,0,4,1,1,11,83,4
73179,7072,12/12/2016 17:07,60,4,9,1,41500228,0,4,1,1,11,83,4
73180,7072,12/12/2016 17:08,60,4,9,1,41500228,0,4,1,1,11,83,4
73182,7072,12/12/2016 17:10,60,5,10,2,41500228,0,4,1,1,11,83,4
73187,7072,12/12/2016 17:14,60,4,13,1,41500228,0,4,1,1,11,83,4
75378,7072,12/23/2016 22:58,60,4,11,1,41500228,0,4,1,1,11,83,4
75379,7072,12/23/2016 22:59,60,4,7,2,41500228,0,4,1,1,11,83,4
75380,7072,12/23/2016 23:00,60,4,9,7,41500228,0,4,1,1,11,83,4
75381,7072,12/23/2016 23:02,60,4,5,8,41500228,0,4,1,1,11,83,4
75382,7072,12/23/2016 23:03,60,4,9,1,41500228,0,4,1,1,11,83,4
75383,7072,12/23/2016 23:04,60,4,11,0,41500228,0,4,1,1,11,83,4
75384,7072,12/23/2016 23:05,60,4,8,5,41500228,0,4,1,1,11,83,4
75385,7072,12/23/2016 23:07,60,4,9,0,41500228,0,4,1,1,11,83,4
75386,7072,12/23/2016 23:08,60,4,10,1,41500228,0,4,1,1,11,83,4
75387,7072,12/23/2016 23:09,60,4,11,1,41500228,0,4,1,1,11,83,4
77166,7072,1/5/2017 20:15,60,5,11,1,41500228,0,4,1,1,11,83,4
77169,7072,1/5/2017 20:17,60,4,10,3,41500228,0,4,1,1,11,83,4
77170,7072,1/5/2017 20:18,60,4,9,4,41500228,0,4,1,1,11,83,4
77173,7072,1/5/2017 20:20,60,4,13,1,41500228,0,4,1,1,11,83,4
77175,7072,1/5/2017 20:21,60,4,9,1,41500228,0,4,1,1,11,83,4
77177,7072,1/5/2017 20:22,60,4,8,2,41500228,0,4,1,1,11,83,4
77180,7072,1/5/2017 20:24,60,4,9,4,41500228,0,4,1,1,11,83,4
77183,7072,1/5/2017 20:25,60,4,6,7,41500228,0,4,1,1,11,83,4
77188,7072,1/5/2017 20:26,60,4,9,1,41500228,0,4,1,1,11,83,4
79634,7072,1/9/2017 10:28,60,4,7,2,41500228,0,4,1,1,11,83,4
79635,7072,1/9/2017 10:29,60,4,11,1,41500228,0,4,1,1,11,83,4
79636,7072,1/9/2017 10:31,60,4,13,0,41500228,0,4,1,1,11,83,4
79637,7072,1/9/2017 10:32,60,5,8,2,41500228,0,4,1,1,11,83,4
79640,7072,1/9/2017 10:36,60,4,6,0,41500228,0,4,1,1,11,83,4
79641,7072,1/9/2017 10:37,60,4,8,8,41500228,0,4,1,1,11,83,4
79642,7072,1/9/2017 10:38,60,4,12,4,41500228,0,4,1,1,11,83,4
79643,7072,1/9/2017 10:39,60,4,14,0,41500228,0,4,1,1,11,83,4
73185,7072,12/12/2016 17:11,60,5,8,2,41500228,0,5,1,1,11,83,5
73186,7072,12/12/2016 17:12,60,4,8,3,41500228,0,5,1,1,11,83,5
77167,7072,1/5/2017 20:16,60,5,6,2,41500228,0,5,1,1,11,83,5
79638,7072,1/9/2017 10:33,60,5,6,2,41500228,0,5,1,1,11,83,5
79639,7072,1/9/2017 10:35,60,4,8,2,41500228,0,5,1,1,11,83,5
64988,7075,11/13/2016 22:24,49,2,6,0,41500251,0,2,1,1,11,73,2
64989,7075,11/13/2016 22:25,33,2,4,1,41500251,0,2,1,1,11,73,2
64991,7075,11/13/2016 22:26,48,2,5,1,41500251,0,2,1,1,11,73,2
64993,7075,11/13/2016 22:27,52,2,6,0,41500251,0,2,1,1,11,73,2
64995,7075,11/13/2016 22:28,54,2,5,0,41500251,0,2,1,1,11,73,2
64996,7075,11/13/2016 22:29,53,2,4,1,41500251,0,2,1,1,11,73,2
64998,7075,11/13/2016 22:30,56,2,7,0,41500251,0,2,1,1,11,73,2
64999,7075,11/13/2016 22:31,60,2,2,1,41500251,0,2,1,1,11,73,2
65000,7075,11/13/2016 22:32,52,2,7,0,41500251,0,2,1,1,11,73,2
65002,7075,11/13/2016 22:33,56,3,6,1,41500251,0,2,1,1,11,73,2
65041,7075,11/13/2016 22:47,45,2,6,0,41500251,0,2,1,1,11,73,2
65043,7075,11/13/2016 22:48,40,2,6,1,41500251,0,2,1,1,11,73,2
